0 0  1512 4184 5595
0 1  1273 2390 3038
0 2  1778 2283 3436
0 3  945 1740 3069
0 4  1267 2242 3487
0 5  1739 3113 4474
0 6  1530 2802 3829
0 7  824 2683 3888
0 8  1565 3105 4273
0 9  1639 3620 5003
0 10  819 2032 3892
1 0  1227 2407 3442
1 1  601 2176 3481
1 2  1449 1969 2893
1 3  1031 2264 3072
1 4  1418 2646 3917
1 5  1851 3276 4633
1 6  1022 2646 3172
1 7  1586 2986 4993
1 8  1245 2243 2996
1 9  1002 2188 3100
1 10  712 2008 3426
2 0  1287 1982 2938
2 1  1008 2693 3804
2 2  510 1521 2355
2 3  974 2151 3566
2 4  1195 2411 3170
2 5  935 2907 3940
2 6  1224 2722 4444
2 7  853 2589 3582
2 8  1263 2863 3591
2 9  1212 1998 3151
2 10  1000 1818 3161
3 0  1165 2060 3623
3 1  1743 2858 4225
3 2  1513 2404 3489
3 3  1439 3027 4223
3 4  1189 2191 3015
3 5  1303 2914 3804
3 6  898 2625 4521
3 7  728 1744 3198
3 8  718 1832 2835
3 9  858 2100 3283
3 10  845 2219 4075
4 0  376 1397 2189
4 1  1340 2102 2878
4 2  1852 2734 3559
4 3  1250 2417 3530
4 4  1126 2066 3110
4 5  1149 2093 3443
4 6  1696 2472 3224
4 7  1112 2177 3747
4 8  1587 3041 4213
4 9  700 2338 3621
4 10  1109 2284 3513
5 0  1102 2665 4065
5 1  1097 2083 3320
5 2  870 2520 3375
5 3  1103 1851 3581
5 4  1015 1495 2993
5 5  653 1452 3099
5 6  1352 2819 4468
5 7  1304 2129 3304
5 8  1371 3328 4510
5 9  1481 2550 3542
5 10  783 2300 4379
6 0  539 1701 2823
6 1  964 2123 3011
6 2  822 2728 4652
6 3  931 1988 3054
6 4  1304 2827 4454
6 5  1087 2491 3574
6 6  833 1649 2108
6 7  595 1858 2739
6 8  388 1785 3017
6 9  1501 3439 4805
6 10  645 1505 2840
7 0  1122 2647 3818
7 1  801 1854 3313
7 2  800 1827 2508
7 3  1263 2064 2959
7 4  1372 2186 3053
7 5  1073 1802 2749
7 6  446 1864 3099
7 7  744 1828 2886
7 8  1429 2474 3976
7 9  1530 3289 4780
7 10  899 1944 2726
8 0  309 1245 2932
8 1  890 2087 3787
8 2  1185 2525 4100
8 3  1209 2630 4042
8 4  1362 2504 3492
8 5  825 1850 3002
8 6  1032 1842 2646
8 7  1417 3754 5416
8 8  1162 2780 3656
8 9  951 1613 3094
8 10  497 1640 2961
9 0  1471 2473 3735
9 1  1795 2961 4164
9 2  1003 2339 3498
9 3  931 2425 3417
9 4  808 2310 3061
9 5  1366 2027 3365
9 6  1535 2832 3934
9 7  1377 2670 3998
9 8  961 2057 2676
9 9  732 1800 2904
9 10  1142 2589 3708
10 0  1180 2063 4095
10 1  891 2358 3180
10 2  1199 2915 4148
10 3  1257 2139 3335
10 4  1989 3601 5672
10 5  1032 3193 4090
10 6  532 1460 2816
10 7  1138 2135 3377
10 8  1230 2431 3266
10 9  1039 2319 3890
10 10  1265 2119 3071
