0 0  741 1025
0 1  1529 2442
0 2  816 1612
0 3  994 1889
0 4  842 1440
0 5  855 1530
0 6  980 1699
0 7  588 1145
0 8  1405 2246
0 9  689 1182
0 10  1287 2742
1 0  657 1312
1 1  1756 2123
1 2  1110 1576
1 3  1310 1974
1 4  1020 1819
1 5  1132 2097
1 6  1128 1893
1 7  1048 1960
1 8  588 1672
1 9  798 2017
1 10  1253 1438
2 0  1967 3028
2 1  1343 2197
2 2  1139 2015
2 3  1513 1861
2 4  300 1003
2 5  520 998
2 6  1366 2181
2 7  1252 2070
2 8  1165 1851
2 9  451 1891
2 10  1343 2445
3 0  1205 1754
3 1  823 1252
3 2  877 1529
3 3  720 1188
3 4  1160 2024
3 5  891 1706
3 6  565 1185
3 7  1015 1505
3 8  1657 3081
3 9  880 1689
3 10  1163 2228
4 0  554 1191
4 1  627 1302
4 2  611 1154
4 3  1199 1830
4 4  980 1435
4 5  1125 1850
4 6  1455 2585
4 7  971 1384
4 8  978 2088
4 9  549 2098
4 10  1251 2086
5 0  293 1033
5 1  595 1283
5 2  1129 1704
5 3  629 1182
5 4  876 1714
5 5  1007 1911
5 6  874 1516
5 7  2215 3044
5 8  772 1476
5 9  1160 1950
5 10  1597 2948
6 0  897 1338
6 1  1372 2557
6 2  1470 2112
6 3  576 1152
6 4  902 1759
6 5  628 1624
6 6  689 1667
6 7  1248 1702
6 8  1410 2780
6 9  1247 1995
6 10  1115 2914
7 0  489 1590
7 1  941 1524
7 2  454 1662
7 3  1235 1860
7 4  1321 1780
7 5  485 1241
7 6  998 1775
7 7  1312 2471
7 8  552 2145
7 9  1389 2761
7 10  1611 2398
8 0  1339 2123
8 1  601 1560
8 2  895 1936
8 3  809 1692
8 4  1113 1778
8 5  1552 2461
8 6  958 1683
8 7  1604 1971
8 8  1722 2638
8 9  2135 2850
8 10  690 2945
9 0  1550 2319
9 1  1792 2618
9 2  700 1911
9 3  532 1099
9 4  541 1517
9 5  890 1416
9 6  805 2080
9 7  403 2011
9 8  1198 2269
9 9  778 1684
9 10  987 2116
10 0  853 2071
10 1  954 1778
10 2  991 1627
10 3  1296 1972
10 4  1064 1605
10 5  1230 2236
10 6  820 2123
10 7  2022 3628
10 8  1087 2607
10 9  1443 3660
10 10  1906 3123
