0.03125 1809 3879 5949 8019 10089 12159 14229 16299 18369 20439
0.0625 1256 2696 4136 5576 7016 8456 9896 11336 12776 14216
0.125 2252 4878 7479 10145 12822 15501 18125 20753 23414 26090
0.25 3254 8342 13415 18419 23389 28439 33496 38578 43609 48597
0.5 2446 6674 10889 15198 19545 23861 28112 32371 36662 40719
1 2966 6601 10883 14799 18235 22616 27243 31520 35574 39571
2 1009 3383 5444 7288 9183 10991 13052 14654 16239 17925
4 296 1896 3208 3961 3939 4917 6167 7191 8161 9081
8 1414 2491 3251 4472 4893 5740 5913 6281 7984 9067
16 589 1532 1579 2772 3069 3729 3856 4176 4882 5380
32 86 575 671 1436 1790 2101 2653 3233 3788 4221
